"s","d","studage","lectage","service","dept","y"
"1416","150","4","1","1","8",3
"2510","1537","4","3","0","12",4
"1597","1763","8","6","0","9",2
"2535","670","4","2","0","5",3
"136","600","8","2","1","4",3
"1918","1842","2","2","0","3",4
"173","1983","6","5","0","1",3
"582","1299","8","3","0","10",1
"309","1780","2","2","1","11",1
"103","1382","8","4","1","3",2
"1847","1314","6","1","1","12",3
"1367","193","8","2","1","10",3
"2496","763","4","1","0","5",4
"1573","281","6","5","0","6",4
"1760","228","6","1","0","9",5
"481","1031","6","2","0","6",3
"318","1701","2","1","1","2",5
"537","323","6","2","0","10",5
"1455","1784","4","3","1","9",4
"2477","2079","6","6","1","11",5
"2787","762","6","1","0","12",4
"2737","1056","8","5","1","8",2
"313","119","4","1","0","3",4
"418","178","6","1","0","14",5
"1061","1521","6","1","0","12",2
"1359","361","6","4","0","12",4
"196","964","6","6","1","8",3
"2689","1018","2","2","0","3",2
"1775","1673","6","1","1","1",1
"1542","2125","2","1","0","3",5
"847","1504","4","2","0","11",3
"2060","1513","6","5","1","12",4
"2768","842","2","1","0","5",3
"1418","868","4","3","0","1",5
"604","1949","6","2","1","8",4
"2088","1910","8","4","1","2",2
"1548","135","2","1","0","14",3
"2866","363","2","2","1","6",5
"290","502","6","1","0","9",3
"42","1619","6","3","1","4",2
"741","456","8","1","1","1",5
"596","603","2","2","1","8",1
"1430","1265","2","5","1","6",5
"2088","1502","8","4","1","6",4
"1296","139","6","4","0","12",2
"948","1780","8","6","1","11",4
"1893","246","6","2","0","4",4
"40","366","8","6","1","11",3
"2219","1304","6","1","0","1",3
"1631","1817","6","6","1","11",3
"51","1975","6","5","0","4",4
"702","1457","6","2","0","4",4
"175","193","8","5","1","10",4
"2817","182","8","6","1","14",2
"2327","1607","8","6","0","4",1
"1794","570","8","3","0","15",2
"1571","13","4","1","0","10",4
"43","195","6","3","0","15",1
"943","1203","8","6","1","3",4
"649","1889","6","1","0","12",4
"2050","669","6","2","0","4",2
"43","903","6","2","0","15",4
"1840","1701","2","1","1","2",2
"948","680","8","2","0","15",5
"997","883","8","6","1","4",3
"1687","1468","2","1","1","11",1
"2250","1207","8","6","0","9",5
"2294","1049","4","2","1","2",4
"2713","1317","6","5","0","5",5
"802","866","4","5","1","2",2
"2740","1086","4","4","1","6",4
"2108","1155","6","6","1","11",1
"824","664","2","2","1","11",5
"108","2079","8","4","0","11",3
"1994","1461","4","3","0","5",4
"1732","1864","8","6","0","7",2
"2460","1451","8","5","0","10",4
"57","621","8","6","1","2",5
"768","329","4","3","0","10",3
"290","1354","6","1","0","9",3
"43","262","6","6","0","15",4
"212","598","8","2","0","10",4
"2765","1537","2","1","1","12",3
"56","1992","6","6","1","12",2
"2875","1736","4","4","1","12",4
"2145","932","2","2","0","12",5
"1400","638","6","1","0","3",4
"2203","575","4","2","0","3",1
"829","2160","4","3","1","2",2
"741","240","8","6","0","3",4
"928","805","6","1","0","9",5
"1785","2121","4","2","1","2",5
"2657","1747","6","4","0","4",5
"556","1086","6","6","1","6",4
"2091","45","6","6","0","5",5
"2068","2021","8","4","0","15",3
"2547","1603","4","4","0","15",2
"2255","1557","2","1","0","3",3
"268","366","8","2","1","11",5
"2861","1610","6","5","1","9",5
"423","1312","4","3","1","9",3
"147","1202","8","3","1","1",1
"2815","367","6","6","1","6",5
"2822","1056","8","5","1","8",3
"1073","748","8","3","0","9",2
"588","1255","6","1","0","12",5
"1394","1537","2","1","1","12",4
"226","1414","2","3","0","1",5
"1189","538","6","3","1","11",2
"45","1201","6","2","0","12",1
"1739","1893","8","6","1","9",5
"2240","428","4","4","0","5",4
"493","2105","6","5","1","6",2
"1744","252","6","5","0","6",3
"1962","687","4","2","1","12",5
"797","1025","8","4","0","4",3
"1899","702","4","1","0","6",3
"1955","1510","2","1","1","6",1
"2210","988","6","6","0","5",4
"178","919","8","6","0","4",4
"655","304","4","1","0","6",1
"2740","1718","4","1","1","8",5
"1077","1521","4","1","0","12",5
"1750","523","6","4","1","14",5
"2540","1610","6","5","1","9",3
"2072","1959","6","3","1","6",2
"2353","921","8","4","1","2",3
"1706","2079","4","3","1","11",4
"463","590","2","2","1","12",4
"1766","1115","8","6","1","11",3
"2598","827","2","1","1","12",5
"1168","1323","8","6","1","2",1
"1725","53","6","2","0","9",3
"1959","1505","4","3","0","8",4
"2519","296","8","6","1","11",1
"1472","2084","8","6","0","10",2
"2580","1396","6","4","1","1",4
"2518","1203","2","2","1","3",1
"2812","1461","2","1","0","5",4
"1136","554","2","1","1","6",2
"1352","659","2","1","0","12",2
"529","790","4","3","1","11",3
"151","67","6","5","0","4",4
"1215","1129","4","1","0","15",3
"1239","1879","2","2","0","6",5
"1823","45","6","6","0","5",5
"2671","624","2","1","0","9",4
"1779","1705","6","5","1","11",3
"929","1904","8","4","1","1",2
"1528","538","2","2","1","11",1
"676","1178","8","3","0","6",4
"1699","1877","4","3","1","7",1
"417","1816","2","2","0","12",3
"673","1072","8","1","1","9",5
"2659","548","2","1","0","7",4
"2850","1812","6","2","0","1",5
"1339","1842","2","2","0","3",4
"130","1212","8","3","0","12",3
"1531","1782","2","2","1","4",5
"402","1755","6","3","1","11",3
"1220","296","6","1","0","11",5
"337","361","8","3","0","12",5
"35","827","6","6","1","12",3
"464","1067","8","6","0","2",4
"1163","1059","4","6","0","6",5
"475","1808","6","3","0","4",1
"2006","295","4","1","0","12",4
"106","2100","6","5","0","9",5
"1760","587","6","3","0","9",2
"2097","1755","4","1","1","11",5
"1207","1537","8","6","1","12",5
"651","96","2","1","0","11",1
"468","646","4","1","1","12",2
"1369","2053","4","2","1","6",2
"42","603","6","3","1","8",5
"71","1027","6","6","0","4",2
"159","591","8","5","0","4",2
"1296","1265","6","4","1","6",3
"331","1050","2","3","1","6",2
"2163","772","4","2","0","7",3
"613","2034","8","6","1","6",4
"1865","307","2","2","1","2",5
"1564","827","8","6","1","12",3
"964","964","8","4","1","8",4
"2421","827","6","3","0","12",5
"2369","1396","2","2","0","1",2
"2057","150","4","1","1","8",3
"1774","1281","6","4","1","6",4
"2629","1018","2","2","0","3",3
"2466","1275","4","4","0","11",3
"1234","1757","6","1","1","1",3
"29","453","2","1","0","5",4
"277","925","6","2","0","15",5
"1133","459","6","2","0","15",2
"1678","1396","4","2","1","1",5
"1744","1178","6","1","0","6",5
"1407","973","6","3","1","4",4
"1004","627","6","4","1","8",2
"1589","1893","2","2","0","9",4
"1966","2116","8","3","0","9",3
"1860","925","2","2","0","15",3
"1184","1521","4","1","0","12",1
"425","1925","2","1","1","6",1
"1768","150","8","1","1","8",3
"2045","1672","6","3","0","14",4
"1424","1492","2","1","1","11",3
"1859","1557","2","1","0","3",3
"360","135","4","3","0","14",3
"1279","66","2","1","1","11",5
"48","150","8","6","1","8",4
"2014","1038","4","1","1","12",5
"2283","1672","4","1","0","14",5
"2508","651","8","4","1","7",5
"175","1842","8","3","0","3",4
"2263","252","2","1","1","6",4
"1725","505","6","2","0","9",4
"2407","1284","4","4","0","4",2
"1633","64","8","3","0","7",2
"1396","916","4","1","1","4",2
"2374","944","2","1","1","11",5
"796","962","6","1","1","4",5
"1072","1756","4","2","1","11",5
"2413","790","4","3","1","11",1
"2329","1250","8","5","0","14",3
"681","893","2","2","0","4",3
"336","228","6","1","0","9",5
"174","1504","8","6","0","11",3
"241","590","4","4","1","12",4
"2311","67","4","2","0","4",3
"2965","1018","4","4","0","3",3
"2558","363","2","2","0","6",5
"1850","1877","6","5","1","7",3
"1130","428","4","2","0","5",1
"393","1917","6","1","0","10",4
"1950","1084","4","4","1","9",3
"363","827","6","4","1","12",5
"1810","2034","2","1","1","6",4
"1684","2160","8","6","1","2",1
"2485","183","6","3","1","8",4
"1261","1207","2","1","0","9",4
"450","1025","6","2","1","4",1
"1323","1083","6","1","1","15",4
"2634","179","2","1","0","12",3
"1974","1017","8","4","0","15",4
"2616","1396","6","4","1","1",3
"1592","805","4","1","0","9",2
"2741","1578","4","4","0","12",1
"458","1513","2","1","1","12",3
"1989","102","8","3","1","1",3
"2509","1022","8","2","0","1",4
"1253","1155","2","1","1","11",4
"2539","1893","4","4","0","9",3
"1763","1203","4","3","1","3",4
"1209","297","4","3","1","9",3
"74","550","8","6","1","8",4
"1329","1400","2","1","0","6",5
"1932","583","2","2","1","11",1
"64","178","8","5","1","14",5
"2839","260","6","6","1","12",1
"1524","602","6","2","0","12",1
"2472","327","6","6","0","2",4
"1177","69","6","5","0","2",1
"2519","352","8","4","1","15",4
"2694","1173","6","3","1","6",2
"1129","932","4","1","0","12",4
"2806","25","4","3","0","5",2
"1529","1224","2","1","0","3",4
"1264","2085","8","1","0","3",4
"1651","624","8","6","0","9",4
"2015","70","4","1","0","11",4
"1459","183","2","2","1","8",2
"1750","1711","6","1","0","3",3
"2353","1468","8","6","1","11",4
"787","1923","6","2","0","12",2
"1980","790","2","1","1","11",1
"1873","1306","6","3","0","9",1
"1897","135","8","6","0","14",3
"1830","236","6","6","0","5",3
"1256","1059","4","4","0","6",3
"2855","264","4","1","0","11",3
"1881","1866","6","6","1","7",5
"1271","989","6","1","1","14",5
"1046","1438","8","1","1","4",4
"1966","805","8","6","0","9",1
"1222","297","6","5","1","9",2
"2424","2034","4","3","1","6",5
"2293","678","8","3","0","10",5
"1454","150","4","1","1","8",2
"2701","774","2","2","0","1",2
"319","65","6","3","0","2",4
"1285","17","4","6","1","2",5
"113","477","6","6","1","8",4
"2931","445","8","4","0","10",4
"2246","437","8","2","0","6",5
"2408","1607","8","5","0","4",5
"253","1925","6","5","1","6",3
"2360","119","4","1","0","3",4
"144","1012","4","2","1","2",1
"2957","202","6","3","0","12",3
"1556","297","8","6","1","9",2
"2820","1207","6","5","0","9",5
"2907","2013","4","5","1","11",1
"324","119","4","1","0","3",4
"1219","287","8","6","0","7",5
"2702","218","8","3","0","6",3
"146","805","8","6","0","9",3
"2218","1172","2","1","0","10",2
"1726","1817","2","2","1","11",2
"833","1513","6","5","0","12",5
"2752","1155","2","1","0","11",3
"2710","714","2","2","1","7",4
"487","802","4","4","0","9",3
"1873","1390","6","1","0","9",3
"1961","1129","4","1","0","15",2
"346","893","4","4","0","4",3
"2168","1919","2","1","1","3",5
"488","183","6","3","1","8",5
"134","870","8","6","0","9",5
"522","977","2","2","0","6",4
"1705","973","8","3","0","4",5
"2591","1492","2","1","1","11",5
"884","1198","6","2","0","10",4
"67","1314","8","5","0","12",3
"1782","1760","4","3","1","6",2
"235","296","8","6","1","11",4
"886","692","4","1","0","12",2
"1133","907","6","3","1","12",5
"1710","756","8","6","0","5",5
"899","1594","4","2","1","4",1
"1033","1023","8","3","0","5",2
"1705","900","8","5","1","7",4
"1665","1817","4","4","1","11",3
"2014","260","4","1","1","12",1
"788","1208","6","4","0","10",4
"314","989","4","2","0","14",5
"1658","1686","2","1","1","8",5
"535","2157","8","5","0","10",3
"828","1731","8","3","0","15",3
"328","273","8","6","0","10",1
"208","58","8","6","0","9",1
"2897","502","6","1","0","9",2
"146","849","8","6","1","2",1
"1611","1542","8","6","1","15",4
"1695","17","4","3","0","2",5
"647","1736","2","6","0","12",5
"2065","53","8","2","0","9",3
"1160","329","4","3","0","10",4
"310","2079","2","4","1","11",2
"654","2025","6","2","0","6",3
"2915","827","8","6","1","12",4
"1663","1701","4","2","1","2",3
"1295","1198","8","1","0","10",5
"248","1764","8","1","0","5",5
"218","763","6","2","0","5",5
"1235","92","6","6","0","6",1
"1848","67","8","6","0","4",4
"159","1554","8","5","0","4",3
"2965","1482","4","1","0","3",3
"1067","1587","8","1","1","1",2
"1433","1513","8","6","1","12",5
"1421","1711","8","6","0","3",4
"2118","1694","4","1","0","2",5
"490","63","4","4","0","10",5
"757","1749","6","2","0","10",4
"556","417","6","3","0","12",4
"2933","925","2","2","0","15",5
"1553","297","2","1","1","9",4
"614","436","2","1","0","12",4
"290","251","6","2","1","1",3
"2879","1840","4","6","1","11",2
"774","670","2","1","0","5",3
"858","1879","6","3","0","6",4
"1653","382","6","1","0","10",4
"2700","1355","6","2","1","3",4
"1624","20","8","1","0","10",5
"817","1947","6","2","0","15",1
"2847","2070","6","3","1","2",3
"1223","814","4","4","0","8",5
"475","1500","6","5","1","12",5
"2360","918","4","2","0","3",1
"402","1642","6","1","1","11",5
"1374","150","4","1","1","8",2
"435","1837","6","3","1","6",2
"1433","1281","8","4","0","6",2
"212","150","8","6","1","8",4
"1311","554","2","1","1","6",3
"868","997","4","1","0","5",1
"2694","2079","6","4","1","11",1
"2439","1006","4","1","0","6",2
"2886","1385","6","1","0","7",3
"2532","1893","2","4","1","9",1
"660","2034","2","1","1","6",4
"1048","2087","8","2","1","3",3
"1496","1673","6","1","1","1",2
"399","581","8","3","0","12",3
"274","932","2","5","0","12",4
"772","304","6","2","1","6",2
"1041","802","8","6","0","9",3
"969","2160","8","1","0","2",4
"782","164","2","2","0","1",2
"792","1457","6","4","1","4",3
"2411","1123","6","2","1","8",4
"117","1514","6","3","1","3",3
"2734","790","4","5","1","11",3
"2933","19","2","2","0","15",2
"758","1410","4","2","1","1",1
"423","1879","4","1","1","6",4
"1185","204","8","4","0","12",2
"2107","675","2","1","1","12",2
"1503","474","8","2","1","1",3
"2732","1917","6","1","0","10",5
"1026","297","2","1","1","9",2
"2467","1439","8","2","0","5",5
"2690","1207","6","5","0","9",5
"1117","1384","4","1","0","10",1
"1837","204","6","2","1","12",1
"2332","275","2","1","0","3",3
"1490","1400","2","1","0","6",4
"515","1439","8","2","0","5",5
"869","296","8","6","1","11",5
"2868","231","8","1","0","4",4
"1448","1963","6","3","0","6",5
"1325","436","6","5","0","12",2
"1250","42","6","6","1","11",3
"1155","603","4","4","1","8",3
"2667","1879","6","5","0","6",1
"1514","305","8","6","0","9",3
"553","831","6","1","1","10",5
"144","1983","4","3","0","1",3
"373","1312","2","1","0","9",2
"1633","1385","8","5","0","7",2
"2867","638","6","1","0","3",3
"1729","682","4","1","0","4",5
"2007","323","8","3","0","10",5
"1827","732","6","2","1","8",4
"466","599","2","1","0","5",5
"1383","624","2","1","0","9",2
"2209","19","4","4","1","15",3
"45","735","6","2","0","12",1
"1923","296","4","2","1","11",3
"2598","1336","2","1","0","6",3
"2169","1744","8","2","0","12",3
"2627","1146","4","1","0","12",4
"1142","275","6","1","0","3",3
"2972","466","4","3","0","10",5
"1225","1303","8","6","1","9",2
"1419","1321","6","6","0","5",4
"2274","736","6","3","1","8",2
"715","918","4","2","0","3",1
"835","1171","8","4","0","14",5
"2107","297","2","1","1","9",2
"50","1827","8","6","1","6",4
"2030","296","4","1","1","11",4
"647","260","2","2","0","12",3
"2394","583","2","2","1","11",5
"1370","973","2","2","0","4",1
"2743","436","2","1","0","12",3
"1747","2083","2","2","1","6",5
"1806","1521","4","1","0","12",4
"1340","787","6","4","0","12",4
"563","687","6","4","0","12",5
"31","1219","8","6","1","6",3
"2207","66","2","1","1","11",3
"1466","2096","8","3","0","10",3
"675","125","4","1","1","5",2
"2124","842","2","1","0","5",5
"2821","150","4","1","1","8",5
"2478","1072","4","2","1","9",5
"255","182","4","1","1","14",5
"481","376","6","1","0","6",5
"518","916","4","1","1","4",3
"432","1004","6","2","0","10",4
"1168","786","8","6","1","8",3
"2683","269","6","1","0","2",4
"466","561","2","1","1","1",3
"266","1500","2","1","1","12",3
"503","275","4","1","0","3",1
"159","1620","8","5","0","4",3
"437","801","4","6","0","5",5
"558","1263","8","3","1","14",4
"1606","470","6","2","0","12",5
"282","446","2","1","1","6",2
"438","856","6","6","1","9",4
"502","790","4","4","1","11",3
"1643","352","4","2","0","15",3
"2111","540","4","4","0","4",1
"1629","2036","8","1","1","8",3
"2737","438","8","6","1","1",1
"193","1736","8","6","0","12",3
"457","793","6","6","1","12",4
"1350","1840","6","3","1","11",4
"649","1744","6","2","0","12",2
"2618","1760","4","3","1","6",5
"2922","1706","8","2","0","15",5
"1282","1548","2","2","0","1",3
"2758","918","2","1","0","3",2
"2573","1492","2","1","1","11",4
"417","1705","2","1","1","11",2
"272","1526","2","1","0","8",3
"2676","1784","6","5","1","9",3
"1615","1748","6","6","1","11",2
"2019","583","2","2","1","11",1
"1638","583","4","4","1","11",1
"309","273","2","1","0","10",2
"1129","307","4","6","1","2",5
"293","1666","8","4","0","14",5
"2889","603","8","6","1","8",3
"2679","1603","2","2","0","15",5
"2533","936","6","1","0","6",3
"1547","475","6","6","1","11",5
"1475","25","2","1","0","5",5
"2607","1106","6","1","0","4",2
"2922","1180","8","3","0","15",5
"1362","696","6","3","1","9",3
"252","664","4","5","1","11",4
"929","228","8","4","0","9",2
"2410","1267","6","6","1","2",4
"801","1312","4","3","0","9",4
"1457","1959","6","3","1","6",5
"2794","1866","8","6","0","7",3
"2184","1215","2","2","0","8",1
"2692","437","2","1","0","6",4
"2868","2143","8","6","0","4",2
"1061","1964","6","2","0","12",2
"2965","1711","4","2","0","3",5
"2844","987","2","5","0","12",2
"904","621","4","1","1","2",1
"519","1755","6","4","1","11",2
"2437","2156","4","1","0","7",1
"671","945","6","6","1","4",3
"1111","1461","4","3","0","5",3
"1458","301","8","4","0","4",2
"2363","1145","2","1","0","6",4
"821","135","2","3","1","14",3
"1961","1822","4","1","0","15",3
"2315","939","4","2","1","14",3
"155","1458","8","6","0","9",3
"599","1317","4","1","0","5",4
"2681","1840","4","6","1","11",4
"1290","1244","6","5","1","3",5
"2211","958","2","2","0","1",4
"1490","1453","2","1","0","6",2
"508","678","6","2","0","10",5
"402","1487","6","4","0","7",3
"2851","554","4","3","1","6",2
"1383","2160","2","3","1","2",3
"2396","1816","2","2","0","12",5
"720","1127","4","1","0","14",3
"424","702","6","3","0","6",5
"488","856","6","6","1","9",1
"929","298","8","2","0","9",2
"1523","973","2","2","1","4",1
"1937","1925","6","1","0","6",4
"2461","393","8","2","0","12",2
"1290","1056","6","2","1","8",5
"2198","801","6","6","0","5",4
"1547","1797","6","6","0","14",3
"1564","838","8","6","1","12",2
"326","150","2","1","1","8",3
"768","1219","4","2","1","6",2
"64","587","8","6","0","9",4
"1282","590","2","2","1","12",2
"2238","1673","2","6","0","1",4
"1089","1207","2","1","0","9",5
"873","1780","2","5","1","11",5
"2693","1864","8","6","0","7",4
"476","42","8","6","1","11",5
"2336","2121","4","2","1","2",4
"76","477","8","6","1","8",2
"215","900","8","6","0","7",2
"2342","1816","2","2","0","12",2
"2566","1724","6","6","0","5",1
"1969","2052","4","1","0","14",2
"946","327","6","6","0","2",5
"50","1691","8","4","1","4",5
"514","1748","6","6","1","11",2
"348","119","8","1","0","3",5
"616","258","6","2","1","8",1
"2769","1837","4","3","1","6",2
"1366","358","8","5","0","9",5
"2088","598","8","3","1","10",5
"332","690","4","1","0","7",2
"833","641","6","1","1","9",5
"2755","65","6","3","0","2",5
"514","1302","6","2","0","9",3
"283","2160","6","6","1","2",1
"2020","361","4","2","0","12",4
"84","41","6","5","0","15",2
"2072","363","6","6","1","6",5
"183","2055","6","2","1","12",5
"925","1487","4","2","0","7",3
"1829","1119","2","2","0","9",5
"1705","693","8","5","1","2",4
"2562","1275","8","6","1","11",3
"1454","84","4","1","0","10",4
"1845","1504","8","6","1","11",2
"2713","1397","6","2","0","5",2
"2733","294","2","2","0","12",4
"2457","1018","2","2","0","3",5
"1155","1050","4","3","1","6",1
"1718","404","6","1","1","15",2
"2467","115","8","3","0","5",4
"149","182","8","3","1","14",3
"1412","1314","6","1","0","12",5
"1516","82","4","6","1","9",3
"2250","1904","8","4","1","1",2
"2116","1161","4","1","0","11",4
"844","335","6","1","0","12",3
"2854","1333","4","1","1","4",5
"178","147","8","6","0","4",3
"1296","1841","6","4","0","12",4
"2475","1263","8","6","0","14",5
"204","947","8","4","0","12",4
"833","260","6","3","0","12",5
"883","2079","4","3","1","11",4
"1596","781","4","2","1","4",1
"2266","73","6","1","0","9",5
"147","939","8","6","1","14",1
"2270","1321","2","2","0","5",1
"2574","1018","2","2","0","3",2
"1602","623","8","6","0","12",4
"2340","973","6","1","1","4",2
"1869","470","2","2","0","12",4
"485","787","4","2","0","12",3
"2786","751","6","2","0","12",3
"103","805","8","6","0","9",3
"222","1400","2","1","0","6",5
"1156","275","2","1","0","3",4
"821","602","2","1","0","12",3
"2123","453","8","1","0","5",4
"1602","188","8","6","0","12",4
"2307","1557","2","1","0","3",2
"1472","845","8","5","0","10",5
"991","2113","4","5","1","5",4
"911","801","8","3","0","5",5
"495","1659","6","6","1","11",4
"843","1172","2","1","0","10",3
"1850","1419","6","1","0","4",5
"1215","554","4","2","1","6",3
"79","1554","6","5","0","4",2
"2068","258","8","1","1","8",1
"833","67","6","4","1","4",5
"2962","562","6","2","0","6",4
"1280","1919","2","1","1","3",4
"1174","1333","4","1","0","4",5
"1512","369","2","1","1","6",2
"1629","2160","8","6","1","2",4
"1522","1317","6","5","0","5",2
"1241","1579","6","3","0","7",4
"241","139","4","2","1","12",1
"931","1687","4","1","1","6",4
"1008","1050","4","1","1","6",5
"1955","1336","2","1","1","6",3
"625","599","4","3","0","5",3
"1761","146","8","5","0","4",3
"1102","1982","6","1","0","7",3
"2284","1666","2","2","0","14",3
"2412","756","6","1","0","5",5
"2357","624","6","3","0","9",4
"940","1629","4","2","1","6",3
"1574","722","6","1","0","3",3
"1745","1594","4","2","1","4",2
"2542","1925","8","6","1","6",4
"1766","1008","8","1","1","8",4
"2640","92","2","6","0","6",2
"1442","1780","2","5","1","11",1
"203","1028","6","6","1","4",3
"196","1620","6","5","0","4",4
"2934","1816","2","2","0","12",4
"2633","1755","4","2","1","11",5
"1448","1265","6","4","0","6",3
"1153","1877","2","1","1","7",1
"45","787","6","3","0","12",4
"1341","1797","4","4","0","14",1
"1100","1244","6","1","0","3",1
"1547","1264","6","5","1","11",4
"2517","1384","8","3","0","10",3
"1300","296","2","1","1","11",5
"142","925","4","5","0","15",3
"1713","272","6","5","1","8",5
"281","1763","8","2","0","9",1
"974","1329","6","2","0","6",1
"999","1461","2","1","0","5",4
"1198","281","2","2","0","6",3
"593","1809","8","6","1","2",2
"165","989","6","6","0","14",4
"211","630","6","6","0","15",3
"407","763","6","1","0","5",5
"2047","309","4","3","0","10",5
"691","2100","8","3","0","9",3
"404","117","8","4","0","5",5
"1405","1056","2","3","1","8",5
"2163","1487","4","2","0","7",2
"1679","554","4","3","1","6",2
"845","763","6","1","0","5",2
"528","827","2","2","0","12",4
"959","945","8","3","0","4",4
"2078","1127","4","1","0","14",1
"1441","1919","2","1","0","3",5
"2064","714","6","6","1","7",2
"2455","1301","4","4","0","12",3
"1633","1802","8","6","0","7",1
"1296","369","6","1","1","6",5
"1811","1722","4","3","1","11",5
"2107","446","2","1","0","6",4
"1462","1827","4","1","0","6",5
"2936","275","2","1","0","3",2
"1458","588","8","1","0","4",5
"1928","1889","6","3","0","12",4
"2401","2079","2","1","1","11",4
"207","687","8","6","0","12",4
"1519","1817","4","1","0","11",1
"2297","1748","6","6","1","11",3
"2937","1267","2","2","0","2",1
"1421","1176","8","2","0","3",3
"1171","827","4","1","0","12",2
"709","1036","2","2","1","7",2
"370","71","6","1","0","4",2
"2242","866","6","4","1","2",1
"2784","593","4","1","0","12",5
"2847","1780","6","5","1","11",1
"2423","187","8","5","0","11",1
"1488","573","2","1","0","11",1
"2344","26","8","6","0","15",2
"1692","1817","2","2","1","11",1
"1994","899","4","3","0","5",1
"677","1086","6","6","1","6",2
"933","1049","2","1","1","2",1
"1745","1586","4","1","1","12",1
"1174","1457","4","2","0","4",4
"2869","502","8","1","1","9",2
"2410","1054","6","1","0","4",2
"172","883","6","6","0","4",4
"2359","1763","8","6","0","9",1
"320","432","4","3","0","3",3
"2948","1056","6","2","1","8",5
"2174","2108","8","3","0","5",2
"805","944","2","1","1","11",4
"1082","638","4","1","0","3",4
"47","736","6","5","1","8",4
"1418","622","4","3","1","11",1
"93","1338","8","5","0","15",2
"2458","377","2","2","0","10",4
"1540","466","4","3","0","10",1
"1987","1451","6","4","0","10",3
"1923","603","4","4","1","8",3
"2547","489","4","1","0","15",3
"176","67","6","6","0","4",4
"832","314","8","6","1","11",4
"1598","1115","8","6","1","11",2
"1369","659","4","4","0","12",3
"2648","437","2","1","0","6",3
"325","688","8","1","0","10",3
"1153","150","2","1","1","8",3
"2963","65","6","4","1","2",3
"2509","1659","8","6","1","11",4
"2694","1615","6","1","0","1",3
"759","183","6","4","1","8",3
"2448","1919","2","1","1","3",4
"503","959","4","1","0","3",5
"1262","1438","8","1","1","4",3
"647","2086","2","2","0","12",4
"88","603","6","4","1","8",2
"1672","1448","6","1","1","4",4
"1331","540","8","6","0","4",1
"190","34","6","6","1","14",3
"328","1809","8","6","1","2",1
"2484","182","8","1","0","14",4
"1973","959","4","1","0","3",1
"1288","1119","2","2","0","9",1
"178","916","8","1","0","4",5
"1358","1701","4","2","1","2",5
"1052","1998","6","4","0","4",3
"509","34","6","3","1","14",2
"663","1895","8","1","0","15",5
"150","1717","6","2","0","15",4
"1376","672","2","1","1","1",2
"787","1575","6","3","0","12",4
"2353","361","8","6","0","12",2
"655","363","4","2","0","6",2
"2390","2113","8","2","0","5",4
"661","1578","2","2","0","12",1
"1623","1686","8","4","1","8",3
"1929","577","2","1","0","15",5
"2196","202","6","3","0","12",3
"1229","1354","6","3","0","9",1
"1856","945","2","2","1","4",2
"1022","1028","8","5","1","4",2
"2214","1056","4","2","1","8",1
"1924","1207","4","5","1","9",3
"1264","638","8","1","0","3",1
"2640","551","2","4","0","6",3
"2957","363","6","6","1","6",3
"1101","962","4","1","0","4",2
"301","1157","8","1","0","5",2
"1644","1018","2","2","0","3",4
"1503","1277","8","5","0","7",3
"1180","1275","4","4","1","11",5
"1260","1817","4","4","1","11",3
"708","401","4","3","0","4",4
"2104","575","6","3","0","3",1
"1898","1893","2","2","0","9",3
"2437","1701","4","2","1","2",5
"1147","873","6","1","0","9",5
"1889","1736","4","4","1","12",1
"2169","1038","8","2","0","12",4
"360","57","4","1","1","11",3
"2938","1056","4","2","1","8",1
"241","1548","4","4","0","1",5
"402","973","6","6","1","4",3
"1291","1425","4","3","1","11",4
"1119","1564","8","3","0","2",3
"2493","275","4","1","0","3",4
"2701","1730","2","1","0","1",5
"1541","1566","2","1","1","9",1
"377","819","8","3","0","12",4
"837","297","2","4","1","9",3
"502","1312","4","3","0","9",3
"2794","287","8","6","0","7",5
"1987","125","6","2","1","5",2
"2794","499","8","1","1","10",2
"2492","1711","4","2","0","3",5
"193","1597","8","3","0","12",4
"1290","2096","6","1","0","10",1
"2206","1510","4","1","1","6",5
"1098","1412","8","4","1","12",5
"2336","377","4","4","0","10",2
"1155","327","4","6","1","2",4
"1597","102","8","3","1","1",3
"1601","548","2","1","0","7",5
"2435","2116","6","1","0","9",4
"491","417","8","6","0","12",4
"90","763","4","5","0","5",5
"333","1002","6","2","0","2",2
"742","273","2","1","0","10",1
"1697","485","6","3","1","3",5
"888","1599","8","5","0","12",4
"33","1537","8","3","0","12",3
"60","1763","8","6","0","9",1
"178","1843","8","4","0","4",1
"395","251","2","2","0","1",5
"514","624","6","1","0","9",5
"2758","1566","2","1","1","9",1
"38","1709","8","6","1","11",3
"23","1709","2","2","0","11",5
"694","1782","8","3","0","4",2
"1112","815","6","2","1","11",3
"2383","1354","6","3","0","9",1
"1309","1310","8","3","0","4",3
"1271","638","6","1","0","3",3
"1231","737","4","2","0","4",4
"823","561","2","1","1","1",2
"542","2079","2","1","1","11",3
"212","1185","8","5","1","4",2
"993","1585","6","3","0","8",4
"2854","971","4","1","0","15",3
"837","1866","2","4","1","7",3
"2134","2098","2","4","1","9",1
"2439","1059","4","4","0","6",3
"59","217","8","5","0","4",4
"2050","1554","6","3","0","4",3
"2121","2015","8","4","0","12",5
"2633","864","4","3","0","12",2
"1332","115","6","1","0","5",5
"319","1589","6","1","0","2",3
